id;record_id;turbine_id;date;generated_energy_kwh;operating_hours;inactive_hours;year;temperature_c
150;P001_0151;T001;2023-05-31;39078.57;21.84;2.16;2023;14.97
151;P001_0152;T001;2023-06-01;22036.59;21.86;2.14;2023;14.13
152;P001_0153;T001;2023-06-02;9593.26;21.91;2.09;2023;12.64
153;P001_0154;T001;2023-06-03;26009.49;21.76;2.24;2023;11.50
154;P001_0155;T001;2023-06-04;12615.44;22.92;1.08;2023;14.60
155;P001_0156;T001;2023-06-05;24613.12;20.08;3.92;2023;10.29
156;P001_0157;T001;2023-06-06;28853.83;20.04;3.96;2023;12.96
157;P001_0158;T001;2023-06-07;10268.67;19.31;4.69;2023;13.50
158;P001_0159;T001;2023-06-08;32219.93;22.32;1.68;2023;14.37
159;P001_0160;T001;2023-06-09;23203.27;20.94;3.06;2023;13.59
160;P001_0161;T001;2023-06-10;31371.73;21.31;2.69;2023;12.84
161;P001_0162;T001;2023-06-11;46887.41;21.57;2.43;2023;11.90
162;P001_0163;T001;2023-06-12;16970.13;20.94;3.06;2023;13.85
163;P001_0164;T001;2023-06-13;13703.73;22.55;1.45;2023;14.35
164;P001_0165;T001;2023-06-14;12715.23;21.82;2.18;2023;7.43
165;P001_0166;T001;2023-06-15;13026.35;22.13;1.87;2023;14.87
166;P001_0167;T001;2023-06-16;20964.76;22.30;1.70;2023;12.88
167;P001_0168;T001;2023-06-17;25900.95;22.37;1.63;2023;11.66
168;P001_0169;T001;2023-06-18;21711.22;20.35;3.65;2023;12.81
169;P001_0170;T001;2023-06-19;28773.33;22.42;1.58;2023;10.67
170;P001_0171;T001;2023-06-20;23036.55;23.04;0.96;2023;10.33
171;P001_0172;T001;2023-06-21;36581.62;20.00;4.00;2023;8.93
172;P001_0173;T001;2023-06-22;18401.53;22.49;1.51;2023;12.68
173;P001_0175;T001;2023-06-24;28996.09;22.84;1.16;2023;14.28
174;P001_0176;T001;2023-06-25;13314.56;20.27;3.73;2023;14.02
175;P001_0177;T001;2023-06-26;11155.67;22.44;1.56;2023;14.39
176;P001_0178;T001;2023-06-27;23209.62;19.76;4.24;2023;12.57
177;P001_0179;T001;2023-06-28;20192.99;21.52;2.48;2023;11.50
178;P001_0180;T001;2023-06-29;30932.74;22.28;1.72;2023;8.55
179;P001_0181;T001;2023-06-30;27491.39;20.64;3.36;2023;14.66
180;P001_0182;T001;2023-07-01;18159.00;20.77;3.23;2023;10.38
181;P001_0183;T001;2023-07-02;14617.08;22.62;1.38;2023;10.00
182;P001_0184;T001;2023-07-03;9729.48;21.54;2.46;2023;10.74
183;P001_0185;T001;2023-07-04;15531.11;21.35;2.65;2023;8.57
184;P001_0186;T001;2023-07-05;31571.40;22.30;1.70;2023;10.22
185;P001_0187;T001;2023-07-06;22684.77;21.42;2.58;2023;9.04
186;P001_0188;T001;2023-07-07;10134.53;22.27;1.73;2023;9.11
187;P001_0189;T001;2023-07-08;21807.77;21.31;2.69;2023;14.50
188;P001_0190;T001;2023-07-09;24821.20;20.96;3.04;2023;10.03
189;P001_0191;T001;2023-07-10;12738.77;21.74;2.26;2023;7.57
190;P001_0192;T001;2023-07-11;22044.84;21.87;2.13;2023;13.51
191;P001_0193;T001;2023-07-12;21099.08;22.04;1.96;2023;8.35
192;P001_0194;T001;2023-07-13;11635.65;22.29;1.71;2023;10.55
193;P001_0195;T001;2023-07-14;23252.68;21.81;2.19;2023;11.70
194;P001_0196;T001;2023-07-15;26513.29;20.50;3.50;2023;8.50
195;P001_0197;T001;2023-07-16;30743.04;21.65;2.35;2023;9.06
196;P001_0198;T001;2023-07-17;33104.03;21.99;2.01;2023;11.79
197;P001_0199;T001;2023-07-18;9434.96;21.13;2.87;2023;7.74
198;P001_0200;T001;2023-07-19;11824.56;21.55;2.45;2023;12.99
199;P001_0201;T001;2023-07-20;24168.48;21.82;2.18;2023;13.47
200;P001_0202;T001;2023-07-21;26173.13;21.45;2.55;2023;10.65
201;P001_0203;T001;2023-07-22;26447.06;22.85;1.15;2023;6.75
202;P001_0205;T001;2023-07-24;26585.30;23.00;1.00;2023;10.66
203;P001_0206;T001;2023-07-25;28728.87;21.82;2.18;2023;12.96
204;P001_0207;T001;2023-07-26;32874.31;22.76;1.24;2023;9.63
205;P001_0208;T001;2023-07-27;28073.39;21.66;2.34;2023;12.97
206;P001_0209;T001;2023-07-28;16487.56;20.83;3.17;2023;5.44
207;P001_0210;T001;2023-07-29;23001.14;22.53;1.47;2023;10.13
208;P001_0211;T001;2023-07-30;13127.09;22.82;1.18;2023;6.35
209;P001_0212;T001;2023-07-31;14694.63;20.13;3.87;2023;8.29
210;P001_0213;T001;2023-08-01;13372.04;21.29;2.71;2023;15.05
211;P001_0214;T001;2023-08-02;18436.27;20.45;3.55;2023;12.60
212;P001_0216;T001;2023-08-04;5923.40;21.58;2.42;2023;14.27
213;P001_0217;T001;2023-08-05;25620.07;22.60;1.40;2023;15.92
214;P001_0218;T001;2023-08-06;6326.45;22.06;1.94;2023;10.25
215;P001_0219;T001;2023-08-07;13564.76;22.20;1.80;2023;9.89
216;P001_0220;T001;2023-08-08;27217.93;21.53;2.47;2023;9.23
217;P001_0221;T001;2023-08-09;16594.15;22.66;1.34;2023;13.53
218;P001_0222;T001;2023-08-10;8570.35;22.22;1.78;2023;15.30
219;P001_0223;T001;2023-08-11;11406.62;22.37;1.63;2023;13.12
220;P001_0224;T001;2023-08-12;22332.40;19.52;4.48;2023;12.37
221;P001_0225;T001;2023-08-13;9722.25;20.48;3.52;2023;13.17
222;P001_0226;T001;2023-08-14;17841.85;22.70;1.30;2023;11.50
223;P001_0227;T001;2023-08-15;14551.56;20.66;3.34;2023;12.01
224;P001_0228;T001;2023-08-16;10356.15;20.56;3.44;2023;14.12
225;P001_0229;T001;2023-08-17;40661.60;20.89;3.11;2023;12.86
226;P001_0230;T001;2023-08-18;23856.69;22.46;1.54;2023;12.69
227;P001_0231;T001;2023-08-19;3597.52;20.16;3.84;2023;16.11
228;P001_0232;T001;2023-08-20;16437.17;21.62;2.38;2023;14.02
229;P001_0233;T001;2023-08-21;9477.02;21.29;2.71;2023;12.68
230;P001_0234;T001;2023-08-22;22404.87;22.21;1.79;2023;12.49
231;P001_0235;T001;2023-08-23;8772.58;20.44;3.56;2023;11.94
232;P001_0236;T001;2023-08-24;13191.14;22.70;1.30;2023;11.10
233;P001_0237;T001;2023-08-25;16431.37;20.46;3.54;2023;10.85
234;P001_0238;T001;2023-08-26;21746.66;22.26;1.74;2023;11.00
235;P001_0239;T001;2023-08-27;5894.36;22.06;1.94;2023;13.35
236;P001_0240;T001;2023-08-28;10715.56;21.55;2.45;2023;10.84
237;P001_0241;T001;2023-08-29;8953.08;22.39;1.61;2023;12.57
238;P001_0242;T001;2023-08-30;8354.75;20.76;3.24;2023;13.45
239;P001_0243;T001;2023-08-31;34197.78;22.82;1.18;2023;12.86
240;P001_0244;T001;2023-09-01;14436.53;21.92;2.08;2023;15.70
241;P001_0245;T001;2023-09-02;5410.46;22.49;1.51;2023;17.92
242;P001_0246;T001;2023-09-03;19315.92;20.63;3.37;2023;17.53
243;P001_0247;T001;2023-09-04;31702.64;19.58;4.42;2023;17.15
244;P001_0248;T001;2023-09-05;19977.79;22.54;1.46;2023;14.79
245;P001_0249;T001;2023-09-06;3539.66;22.72;1.28;2023;15.70
246;P001_0250;T001;2023-09-07;7419.58;20.00;4.00;2023;15.73
247;P001_0251;T001;2023-09-08;20756.52;21.72;2.28;2023;18.18
248;P001_0252;T001;2023-09-09;6633.33;22.31;1.69;2023;18.14
249;P001_0253;T001;2023-09-10;13559.17;22.92;1.08;2023;12.06
250;P001_0254;T001;2023-09-11;15307.69;21.69;2.31;2023;17.80
251;P001_0255;T001;2023-09-12;5074.88;20.59;3.41;2023;15.00
252;P001_0256;T001;2023-09-13;9702.37;22.66;1.34;2023;18.14
253;P001_0257;T001;2023-09-14;274.16;19.89;4.11;2023;11.49
254;P001_0258;T001;2023-09-15;4498.88;21.30;2.70;2023;18.55
255;P001_0259;T001;2023-09-16;6795.46;20.14;3.86;2023;18.79
256;P001_0260;T001;2023-09-17;3683.15;22.35;1.65;2023;17.04
257;P001_0261;T001;2023-09-18;20610.50;21.87;2.13;2023;16.25
258;P001_0262;T001;2023-09-19;2777.54;22.63;1.37;2023;14.52
259;P001_0263;T001;2023-09-20;5743.41;22.66;1.34;2023;18.92
260;P001_0264;T001;2023-09-21;8247.89;20.53;3.47;2023;18.07
261;P001_0265;T001;2023-09-22;19150.28;22.68;1.32;2023;16.53
262;P001_0266;T001;2023-09-23;2201.19;21.79;2.21;2023;13.01
263;P001_0267;T001;2023-09-24;14586.86;21.47;2.53;2023;16.37
264;P001_0268;T001;2023-09-25;6670.13;22.31;1.69;2023;16.74
265;P001_0269;T001;2023-09-26;3035.60;21.98;2.02;2023;18.03
266;P001_0270;T001;2023-09-27;8103.36;20.01;3.99;2023;15.56
267;P001_0271;T001;2023-09-28;7965.89;22.98;1.02;2023;18.39
268;P001_0272;T001;2023-09-29;4187.76;21.93;2.07;2023;15.02
269;P001_0273;T001;2023-09-30;6886.89;22.24;1.76;2023;18.80
270;P001_0274;T001;2023-10-01;4541.26;22.03;1.97;2023;18.70
271;P001_0275;T001;2023-10-02;6705.27;22.59;1.41;2023;16.77
272;P001_0276;T001;2023-10-03;9990.40;22.85;1.15;2023;19.61
273;P001_0277;T001;2023-10-04;14675.16;20.89;3.11;2023;22.94
274;P001_0278;T001;2023-10-05;1857.73;22.01;1.99;2023;22.82
275;P001_0279;T001;2023-10-06;20072.59;20.41;3.59;2023;19.49
276;P001_0280;T001;2023-10-07;748.30;22.08;1.92;2023;17.90
277;P001_0281;T001;2023-10-08;4072.76;20.63;3.37;2023;21.03
278;P001_0282;T001;2023-10-09;8191.96;22.65;1.35;2023;22.32
279;P001_0283;T001;2023-10-10;6723.67;20.73;3.27;2023;17.69
280;P001_0284;T001;2023-10-11;2928.10;22.35;1.65;2023;23.89
281;P001_0285;T001;2023-10-12;3879.47;21.67;2.33;2023;22.90
282;P001_0286;T001;2023-10-13;2728.25;21.12;2.88;2023;22.97
283;P001_0287;T001;2023-10-14;2728.69;22.86;1.14;2023;22.02
284;P001_0288;T001;2023-10-15;8522.01;22.49;1.51;2023;21.94
285;P001_0289;T001;2023-10-16;5338.44;22.62;1.38;2023;16.70
286;P001_0290;T001;2023-10-17;1769.80;18.08;5.92;2023;22.75
287;P001_0291;T001;2023-10-18;6320.80;19.99;4.01;2023;17.18
288;P001_0292;T001;2023-10-19;4994.35;22.31;1.69;2023;22.98
289;P001_0293;T001;2023-10-20;6238.98;20.86;3.14;2023;22.99
290;P001_0294;T001;2023-10-21;6130.16;22.26;1.74;2023;22.29
291;P001_0295;T001;2023-10-22;1289.84;20.12;3.88;2023;20.01
292;P001_0296;T001;2023-10-23;1985.90;22.88;1.12;2023;21.91
293;P001_0297;T001;2023-10-24;6505.28;22.23;1.77;2023;21.43
294;P001_0298;T001;2023-10-25;5295.95;22.34;1.66;2023;21.84
295;P001_0299;T001;2023-10-26;2843.78;22.17;1.83;2023;20.38
296;P001_0300;T001;2023-10-27;3512.34;22.95;1.05;2023;21.59
297;P001_0301;T001;2023-10-28;7137.74;20.93;3.07;2023;19.86
298;P001_0302;T001;2023-10-29;1446.08;20.80;3.20;2023;19.57
299;P001_0303;T001;2023-10-30;4426.48;22.78;1.22;2023;21.98
300;P001_0304;T001;2023-10-31;2483.07;23.01;0.99;2023;21.26
301;P001_0305;T001;2023-11-01;1849.51;20.39;3.61;2023;27.69
302;P001_0306;T001;2023-11-02;6872.35;20.52;3.48;2023;24.69
303;P001_0307;T001;2023-11-03;4714.59;20.77;3.23;2023;26.81
304;P001_0308;T001;2023-11-04;4397.84;20.01;3.99;2023;25.93
305;P001_0309;T001;2023-11-05;6124.18;20.09;3.91;2023;25.55
306;P001_0310;T001;2023-11-06;2038.89;19.89;4.11;2023;22.91
307;P001_0311;T001;2023-11-07;3842.85;21.69;2.31;2023;23.67
308;P001_0312;T001;2023-11-08;1583.95;22.60;1.40;2023;24.69
309;P001_0313;T001;2023-11-09;2699.41;22.82;1.18;2023;25.80
310;P001_0314;T001;2023-11-10;1697.04;21.96;2.04;2023;23.33
311;P001_0315;T001;2023-11-11;1841.03;22.01;1.99;2023;25.67
312;P001_0316;T001;2023-11-12;3096.16;22.02;1.98;2023;28.77
313;P001_0317;T001;2023-11-13;598.93;20.00;4.00;2023;24.87
314;P001_0318;T001;2023-11-14;9414.25;22.48;1.52;2023;22.31
315;P001_0319;T001;2023-11-15;455.04;22.56;1.44;2023;25.32
316;P001_0320;T001;2023-11-16;264.45;20.49;3.51;2023;26.28
317;P001_0321;T001;2023-11-17;5079.50;21.64;2.36;2023;22.63
318;P001_0322;T001;2023-11-18;3096.35;22.54;1.46;2023;28.05
319;P001_0323;T001;2023-11-19;3323.96;21.87;2.13;2023;24.71
320;P001_0324;T001;2023-11-20;2627.29;22.90;1.10;2023;25.49
321;P001_0325;T001;2023-11-21;1410.66;21.82;2.18;2023;25.22
322;P001_0326;T001;2023-11-22;359.58;22.30;1.70;2023;22.33
323;P001_0327;T001;2023-11-23;1705.58;22.53;1.47;2023;24.72
324;P001_0328;T001;2023-11-24;532.11;22.87;1.13;2023;25.36
325;P001_0329;T001;2023-11-25;3640.79;22.63;1.37;2023;24.38
326;P001_0330;T001;2023-11-26;1050.85;20.80;3.20;2023;24.88
327;P001_0331;T001;2023-11-27;354.25;21.48;2.52;2023;22.40
328;P001_0332;T001;2023-11-28;791.96;22.70;1.30;2023;26.84
329;P001_0333;T001;2023-11-29;1822.66;21.84;2.16;2023;22.52
330;P001_0334;T001;2023-11-30;480.91;20.56;3.44;2023;25.94
331;P001_0335;T001;2023-12-01;297.93;23.03;0.97;2023;29.01
332;P001_0336;T001;2023-12-02;1596.41;22.74;1.26;2023;24.46
333;P001_0337;T001;2023-12-03;1451.30;21.83;2.17;2023;30.48
334;P001_0338;T001;2023-12-04;400.33;21.70;2.30;2023;28.57
335;P001_0339;T001;2023-12-05;532.24;22.64;1.36;2023;27.14
336;P001_0340;T001;2023-12-06;1347.87;22.24;1.76;2023;29.76
337;P001_0341;T001;2023-12-07;38.64;18.76;5.24;2023;32.03
338;P001_0342;T001;2023-12-08;48.71;22.21;1.79;2023;26.29
339;P001_0343;T001;2023-12-09;238.47;20.42;3.58;2023;34.82
340;P001_0344;T001;2023-12-10;642.37;21.91;2.09;2023;31.74
341;P001_0345;T001;2023-12-11;1410.19;21.72;2.28;2023;25.44
342;P001_0346;T001;2023-12-12;4132.19;22.69;1.31;2023;28.81
343;P001_0347;T001;2023-12-13;2098.72;21.31;2.69;2023;28.65
344;P001_0348;T001;2023-12-14;668.43;22.50;1.50;2023;28.60
345;P001_0349;T001;2023-12-15;834.42;22.48;1.52;2023;26.28
346;P001_0350;T001;2023-12-16;108.16;21.13;2.87;2023;28.50
347;P001_0351;T001;2023-12-17;840.37;21.91;2.09;2023;25.72
348;P001_0352;T001;2023-12-18;474.65;21.85;2.15;2023;31.93
349;P001_0353;T001;2023-12-19;1281.47;20.45;3.55;2023;27.95
350;P001_0354;T001;2023-12-20;155.79;22.43;1.57;2023;29.59
351;P001_0355;T001;2023-12-21;1419.13;21.59;2.41;2023;28.65
352;P001_0356;T001;2023-12-22;4144.57;22.70;1.30;2023;22.90
353;P001_0357;T001;2023-12-23;680.65;22.36;1.64;2023;30.85
354;P001_0358;T001;2023-12-24;1337.85;21.06;2.94;2023;26.40
355;P001_0359;T001;2023-12-25;1870.58;23.00;1.00;2023;27.04
356;P001_0360;T001;2023-12-26;357.34;20.92;3.08;2023;28.12
357;P001_0361;T001;2023-12-27;848.49;17.88;6.12;2023;31.93
358;P001_0362;T001;2023-12-28;691.73;21.94;2.06;2023;29.30
359;P001_0363;T001;2023-12-29;791.26;21.10;2.90;2023;25.50
360;P001_0364;T001;2023-12-30;182.03;22.38;1.62;2023;30.02
361;P001_0365;T001;2023-12-31;764.06;22.19;1.81;2023;30.14
362;P001_0366;T001;2024-01-01;1679.86;22.27;1.73;2024;28.57
363;P001_0367;T001;2024-01-02;4576.74;21.37;2.63;2024;26.92
364;P001_0368;T001;2024-01-03;2650.98;20.95;3.05;2024;28.90
365;P001_0369;T001;2024-01-04;7303.50;22.58;1.42;2024;26.05
366;P001_0370;T001;2024-01-05;217.95;21.65;2.35;2024;27.89
367;P001_0371;T001;2024-01-06;2529.93;22.29;1.71;2024;30.06
