record_id;turbine_id;date;generated_energy_kwh;operating_hours;inactive_hours;year;temperature_c
P001_0093;T001;2023-04-03;6015.87;21.92;2.08;2023;18.16
P001_0094;T001;2023-04-04;4634.34;21.53;2.47;2023;18.29
P001_0095;T001;2023-04-05;2166.36;22.55;1.45;2023;15.66
P001_0096;T001;2023-04-06;4879.92;20.83;3.17;2023;18.77
P001_0097;T001;2023-04-07;5577.2;21.2;2.8;2023;20.51
P001_0098;T001;2023-04-08;3837.11;20.69;3.31;2023;19.21
P001_0099;T001;2023-04-09;7744.16;22.9;1.1;2023;18.22
P001_0100;T001;2023-04-10;10225.15;22.09;1.91;2023;17.43
P001_0101;T001;2023-04-11;21597.05;21.57;2.43;2023;17.93
P001_0102;T001;2023-04-12;9097.49;21.79;2.21;2023;21.03
P001_0103;T001;2023-04-13;9650.49;21.39;2.61;2023;18.51
P001_0104;T001;2023-04-14;8426.7;23.0;1.0;2023;19.14
P001_0105;T001;2023-04-15;1534.43;19.51;4.49;2023;18.86
P001_0106;T001;2023-04-16;9045.0;22.71;1.29;2023;18.02
P001_0107;T001;2023-04-17;9564.68;22.39;1.61;2023;18.56
P001_0108;T001;2023-04-18;29061.91;20.9;3.1;2023;22.01
P001_0109;T001;2023-04-19;9578.39;22.98;1.02;2023;16.0
P001_0110;T001;2023-04-20;11400.22;22.67;1.33;2023;16.83
P001_0111;T001;2023-04-21;9441.2;22.08;1.92;2023;18.23
P001_0112;T001;2023-04-22;3792.02;18.59;5.41;2023;21.95
P001_0113;T001;2023-04-23;19971.02;22.24;1.76;2023;14.6
P001_0114;T001;2023-04-24;15083.4;21.69;2.31;2023;18.06
P001_0115;T001;2023-04-25;16344.44;20.89;3.11;2023;17.32
P001_0116;T001;2023-04-26;6225.76;20.46;3.54;2023;16.08
P001_0117;T001;2023-04-27;23108.68;22.81;1.19;2023;22.26
P001_0118;T001;2023-04-28;4052.27;19.15;4.85;2023;16.86
P001_0119;T001;2023-04-29;16170.63;22.5;1.5;2023;14.48
P001_0120;T001;2023-04-30;36517.61;21.77;2.23;2023;16.46
P001_0121;T001;2023-05-01;7318.26;23.04;0.96;2023;18.29
P001_0122;T001;2023-05-02;8469.77;21.83;2.17;2023;14.06
P001_0123;T001;2023-05-03;12522.85;22.47;1.53;2023;14.39
P001_0124;T001;2023-05-04;9428.83;20.69;3.31;2023;17.44
P001_0125;T001;2023-05-05;4648.26;21.66;2.34;2023;13.06
P001_0126;T001;2023-05-06;14523.82;22.68;1.32;2023;15.0
P001_0127;T001;2023-05-07;6896.21;23.0;1.0;2023;16.12
P001_0128;T001;2023-05-08;17170.95;22.24;1.76;2023;15.8
P001_0129;T001;2023-05-09;7917.63;20.7;3.3;2023;16.29
P001_0130;T001;2023-05-10;29117.96;20.54;3.46;2023;16.3
P001_0131;T001;2023-05-11;8061.32;20.93;3.07;2023;16.13
P001_0132;T001;2023-05-12;12293.47;21.84;2.16;2023;15.05
P001_0133;T001;2023-05-13;23483.85;22.4;1.6;2023;20.8
P001_0134;T001;2023-05-14;6795.83;21.47;2.53;2023;15.08
P001_0135;T001;2023-05-15;17114.27;20.73;3.27;2023;16.29
P001_0136;T001;2023-05-16;28816.29;22.52;1.48;2023;14.5
P001_0137;T001;2023-05-17;5822.91;22.56;1.44;2023;16.77
P001_0138;T001;2023-05-18;16589.68;19.77;4.23;2023;15.17
P001_0139;T001;2023-05-19;18934.62;22.21;1.79;2023;12.82
P001_0140;T001;2023-05-20;22800.13;22.51;1.49;2023;12.37
P001_0141;T001;2023-05-21;8234.46;22.66;1.34;2023;17.0
P001_0142;T001;2023-05-22;7687.06;22.68;1.32;2023;14.95
P001_0143;T001;2023-05-23;23438.38;22.36;1.64;2023;13.06
P001_0144;T001;2023-05-24;19726.1;21.55;2.45;2023;12.93
P001_0145;T001;2023-05-25;20173.71;22.61;1.39;2023;16.82
P001_0146;T001;2023-05-26;19934.33;22.81;1.19;2023;13.87
P001_0147;T001;2023-05-27;12384.59;22.36;1.64;2023;15.26
P001_0148;T001;2023-05-28;21577.72;22.38;1.62;2023;14.7
P001_0149;T001;2023-05-29;18495.16;20.94;3.06;2023;14.22
P001_0150;T001;2023-05-30;12687.81;22.72;1.28;2023;16.31
P001_0151;T001;2023-05-31;39078.57;21.84;2.16;2023;14.97
P001_0152;T001;2023-06-01;22036.59;21.86;2.14;2023;14.13
P001_0153;T001;2023-06-02;9593.26;21.91;2.09;2023;12.64
P001_0154;T001;2023-06-03;26009.49;21.76;2.24;2023;11.5
P001_0155;T001;2023-06-04;12615.44;22.92;1.08;2023;14.6
P001_0156;T001;2023-06-05;24613.12;20.08;3.92;2023;10.29
P001_0157;T001;2023-06-06;28853.83;20.04;3.96;2023;12.96
P001_0158;T001;2023-06-07;10268.67;19.31;4.69;2023;13.5
P001_0159;T001;2023-06-08;32219.93;22.32;1.68;2023;14.37
P001_0160;T001;2023-06-09;23203.27;20.94;3.06;2023;13.59
P001_0161;T001;2023-06-10;31371.73;21.31;2.69;2023;12.84
P001_0162;T001;2023-06-11;46887.41;21.57;2.43;2023;11.9
P001_0163;T001;2023-06-12;16970.13;20.94;3.06;2023;13.85
P001_0164;T001;2023-06-13;13703.73;22.55;1.45;2023;14.35
P001_0165;T001;2023-06-14;12715.23;21.82;2.18;2023;7.43
P001_0166;T001;2023-06-15;13026.35;22.13;1.87;2023;14.87
P001_0167;T001;2023-06-16;20964.76;22.3;1.7;2023;12.88
P001_0168;T001;2023-06-17;25900.95;22.37;1.63;2023;11.66
P001_0169;T001;2023-06-18;21711.22;20.35;3.65;2023;12.81
P001_0170;T001;2023-06-19;28773.33;22.42;1.58;2023;10.67
P001_0171;T001;2023-06-20;23036.55;23.04;0.96;2023;10.33
P001_0172;T001;2023-06-21;36581.62;20.0;4.0;2023;8.93
P001_0173;T001;2023-06-22;18401.53;22.49;1.51;2023;12.68
P001_0174;T001;2023-06-23;62706.02;21.48;2.52;2023;8.55
P001_0175;T001;2023-06-24;28996.09;22.84;1.16;2023;14.28
P001_0176;T001;2023-06-25;13314.56;20.27;3.73;2023;14.02
P001_0177;T001;2023-06-26;11155.67;22.44;1.56;2023;14.39
P001_0178;T001;2023-06-27;23209.62;19.76;4.24;2023;12.57
P001_0179;T001;2023-06-28;20192.99;21.52;2.48;2023;11.5
P001_0180;T001;2023-06-29;30932.74;22.28;1.72;2023;8.55
P001_0181;T001;2023-06-30;27491.39;20.64;3.36;2023;14.66
P001_0182;T001;2023-07-01;18159.0;20.77;3.23;2023;10.38
P001_0183;T001;2023-07-02;14617.08;22.62;1.38;2023;10.0
P001_0184;T001;2023-07-03;9729.48;21.54;2.46;2023;10.74
P001_0185;T001;2023-07-04;15531.11;21.35;2.65;2023;8.57
P001_0186;T001;2023-07-05;31571.4;22.3;1.7;2023;10.22
P001_0187;T001;2023-07-06;22684.77;21.42;2.58;2023;9.04
P001_0188;T001;2023-07-07;10134.53;22.27;1.73;2023;9.11
P001_0189;T001;2023-07-08;21807.77;21.31;2.69;2023;14.5
P001_0190;T001;2023-07-09;24821.2;20.96;3.04;2023;10.03
P001_0191;T001;2023-07-10;12738.77;21.74;2.26;2023;7.57
P001_0192;T001;2023-07-11;22044.84;21.87;2.13;2023;13.51
P001_0193;T001;2023-07-12;21099.08;22.04;1.96;2023;8.35
P001_0194;T001;2023-07-13;11635.65;22.29;1.71;2023;10.55
P001_0195;T001;2023-07-14;23252.68;21.81;2.19;2023;11.7
P001_0196;T001;2023-07-15;26513.29;20.5;3.5;2023;8.5
P001_0197;T001;2023-07-16;30743.04;21.65;2.35;2023;9.06
P001_0198;T001;2023-07-17;33104.03;21.99;2.01;2023;11.79
P001_0199;T001;2023-07-18;9434.96;21.13;2.87;2023;7.74
P001_0200;T001;2023-07-19;11824.56;21.55;2.45;2023;12.99
P001_0201;T001;2023-07-20;24168.48;21.82;2.18;2023;13.47
P001_0202;T001;2023-07-21;26173.13;21.45;2.55;2023;10.65
P001_0203;T001;2023-07-22;26447.06;22.85;1.15;2023;6.75
P001_0204;T001;2023-07-23;89987.66;21.98;2.02;2023;10.58
P001_0205;T001;2023-07-24;26585.3;23.0;1.0;2023;10.66
P001_0206;T001;2023-07-25;28728.87;21.82;2.18;2023;12.96
P001_0207;T001;2023-07-26;32874.31;22.76;1.24;2023;9.63
P001_0208;T001;2023-07-27;28073.39;21.66;2.34;2023;12.97
P001_0209;T001;2023-07-28;16487.56;20.83;3.17;2023;5.44
P001_0210;T001;2023-07-29;23001.14;22.53;1.47;2023;10.13
P001_0211;T001;2023-07-30;13127.09;22.82;1.18;2023;6.35
P001_0212;T001;2023-07-31;14694.63;20.13;3.87;2023;8.29
P001_0213;T001;2023-08-01;13372.04;21.29;2.71;2023;15.05
P001_0214;T001;2023-08-02;18436.27;20.45;3.55;2023;12.6
P001_0215;T001;2023-08-03;48859.61;22.94;1.06;2023;9.39
P001_0216;T001;2023-08-04;5923.4;21.58;2.42;2023;14.27
P001_0217;T001;2023-08-05;25620.07;22.6;1.4;2023;15.92
P001_0218;T001;2023-08-06;6326.45;22.06;1.94;2023;10.25
P001_0219;T001;2023-08-07;13564.76;22.2;1.8;2023;9.89
P001_0220;T001;2023-08-08;27217.93;21.53;2.47;2023;9.23
P001_0221;T001;2023-08-09;16594.15;22.66;1.34;2023;13.53
P001_0222;T001;2023-08-10;8570.35;22.22;1.78;2023;15.3
P001_0223;T001;2023-08-11;11406.62;22.37;1.63;2023;13.12
P001_0224;T001;2023-08-12;22332.4;19.52;4.48;2023;12.37
P001_0225;T001;2023-08-13;9722.25;20.48;3.52;2023;13.17
P001_0226;T001;2023-08-14;17841.85;22.7;1.3;2023;11.5
P001_0227;T001;2023-08-15;14551.56;20.66;3.34;2023;12.01
P001_0228;T001;2023-08-16;10356.15;20.56;3.44;2023;14.12
P001_0229;T001;2023-08-17;40661.6;20.89;3.11;2023;12.86
P001_0230;T001;2023-08-18;23856.69;22.46;1.54;2023;12.69
P001_0231;T001;2023-08-19;3597.52;20.16;3.84;2023;16.11
P001_0232;T001;2023-08-20;16437.17;21.62;2.38;2023;14.02
P001_0233;T001;2023-08-21;9477.02;21.29;2.71;2023;12.68
P001_0234;T001;2023-08-22;22404.87;22.21;1.79;2023;12.49
P001_0235;T001;2023-08-23;8772.58;20.44;3.56;2023;11.94
P001_0236;T001;2023-08-24;13191.14;22.7;1.3;2023;11.1
P001_0237;T001;2023-08-25;16431.37;20.46;3.54;2023;10.85
P001_0238;T001;2023-08-26;21746.66;22.26;1.74;2023;11.0
P001_0239;T001;2023-08-27;5894.36;22.06;1.94;2023;13.35
P001_0240;T001;2023-08-28;10715.56;21.55;2.45;2023;10.84
P001_0241;T001;2023-08-29;8953.08;22.39;1.61;2023;12.57
P001_0242;T001;2023-08-30;8354.75;20.76;3.24;2023;13.45
P001_0243;T001;2023-08-31;34197.78;22.82;1.18;2023;12.86
P001_0244;T001;2023-09-01;14436.53;21.92;2.08;2023;15.7
P001_0245;T001;2023-09-02;5410.46;22.49;1.51;2023;17.92
P001_0246;T001;2023-09-03;19315.92;20.63;3.37;2023;17.53
P001_0247;T001;2023-09-04;31702.64;19.58;4.42;2023;17.15
P001_0248;T001;2023-09-05;19977.79;22.54;1.46;2023;14.79
P001_0249;T001;2023-09-06;3539.66;22.72;1.28;2023;15.7
P001_0250;T001;2023-09-07;7419.58;20.0;4.0;2023;15.73
P001_0251;T001;2023-09-08;20756.52;21.72;2.28;2023;18.18
P001_0252;T001;2023-09-09;6633.33;22.31;1.69;2023;18.14
P001_0253;T001;2023-09-10;13559.17;22.92;1.08;2023;12.06
P001_0254;T001;2023-09-11;15307.69;21.69;2.31;2023;17.8
P001_0255;T001;2023-09-12;5074.88;20.59;3.41;2023;15.0
P001_0256;T001;2023-09-13;9702.37;22.66;1.34;2023;18.14
P001_0257;T001;2023-09-14;274.16;19.89;4.11;2023;11.49
P001_0258;T001;2023-09-15;4498.88;21.3;2.7;2023;18.55
P001_0259;T001;2023-09-16;6795.46;20.14;3.86;2023;18.79
P001_0260;T001;2023-09-17;3683.15;22.35;1.65;2023;17.04
P001_0261;T001;2023-09-18;20610.5;21.87;2.13;2023;16.25
P001_0262;T001;2023-09-19;2777.54;22.63;1.37;2023;14.52
P001_0263;T001;2023-09-20;5743.41;22.66;1.34;2023;18.92
P001_0264;T001;2023-09-21;8247.89;20.53;3.47;2023;18.07
P001_0265;T001;2023-09-22;19150.28;22.68;1.32;2023;16.53
P001_0266;T001;2023-09-23;2201.19;21.79;2.21;2023;13.01
P001_0267;T001;2023-09-24;14586.86;21.47;2.53;2023;16.37
P001_0268;T001;2023-09-25;6670.13;22.31;1.69;2023;16.74
P001_0269;T001;2023-09-26;3035.6;21.98;2.02;2023;18.03
P001_0270;T001;2023-09-27;8103.36;20.01;3.99;2023;15.56
P001_0271;T001;2023-09-28;7965.89;22.98;1.02;2023;18.39
P001_0272;T001;2023-09-29;4187.76;21.93;2.07;2023;15.02
P001_0273;T001;2023-09-30;6886.89;22.24;1.76;2023;18.8
P001_0274;T001;2023-10-01;4541.26;22.03;1.97;2023;18.7
P001_0275;T001;2023-10-02;6705.27;22.59;1.41;2023;16.77
P001_0276;T001;2023-10-03;9990.4;22.85;1.15;2023;19.61
P001_0277;T001;2023-10-04;14675.16;20.89;3.11;2023;22.94
P001_0278;T001;2023-10-05;1857.73;22.01;1.99;2023;22.82
P001_0279;T001;2023-10-06;20072.59;20.41;3.59;2023;19.49
P001_0280;T001;2023-10-07;748.3;22.08;1.92;2023;17.9
P001_0281;T001;2023-10-08;4072.76;20.63;3.37;2023;21.03
P001_0282;T001;2023-10-09;8191.96;22.65;1.35;2023;22.32
P001_0283;T001;2023-10-10;6723.67;20.73;3.27;2023;17.69
P001_0284;T001;2023-10-11;2928.1;22.35;1.65;2023;23.89
P001_0285;T001;2023-10-12;3879.47;21.67;2.33;2023;22.9
P001_0286;T001;2023-10-13;2728.25;21.12;2.88;2023;22.97
P001_0287;T001;2023-10-14;2728.69;22.86;1.14;2023;22.02
P001_0288;T001;2023-10-15;8522.01;22.49;1.51;2023;21.94
P001_0289;T001;2023-10-16;5338.44;22.62;1.38;2023;16.7
P001_0290;T001;2023-10-17;1769.8;18.08;5.92;2023;22.75
P001_0291;T001;2023-10-18;6320.8;19.99;4.01;2023;17.18
P001_0292;T001;2023-10-19;4994.35;22.31;1.69;2023;22.98
P001_0293;T001;2023-10-20;6238.98;20.86;3.14;2023;22.99
P001_0294;T001;2023-10-21;6130.16;22.26;1.74;2023;22.29
P001_0295;T001;2023-10-22;1289.84;20.12;3.88;2023;20.01
P001_0296;T001;2023-10-23;1985.9;22.88;1.12;2023;21.91
P001_0297;T001;2023-10-24;6505.28;22.23;1.77;2023;21.43
P001_0298;T001;2023-10-25;5295.95;22.34;1.66;2023;21.84
P001_0299;T001;2023-10-26;2843.78;22.17;1.83;2023;20.38
P001_0300;T001;2023-10-27;3512.34;22.95;1.05;2023;21.59
P001_0301;T001;2023-10-28;7137.74;20.93;3.07;2023;19.86
P001_0302;T001;2023-10-29;1446.08;20.8;3.2;2023;19.57
P001_0303;T001;2023-10-30;4426.48;22.78;1.22;2023;21.98
P001_0304;T001;2023-10-31;2483.07;23.01;0.99;2023;21.26
P001_0305;T001;2023-11-01;1849.51;20.39;3.61;2023;27.69
P001_0306;T001;2023-11-02;6872.35;20.52;3.48;2023;24.69
P001_0307;T001;2023-11-03;4714.59;20.77;3.23;2023;26.81
P001_0308;T001;2023-11-04;4397.84;20.01;3.99;2023;25.93
P001_0309;T001;2023-11-05;6124.18;20.09;3.91;2023;25.55
P001_0310;T001;2023-11-06;2038.89;19.89;4.11;2023;22.91
P001_0311;T001;2023-11-07;3842.85;21.69;2.31;2023;23.67
P001_0312;T001;2023-11-08;1583.95;22.6;1.4;2023;24.69
P001_0313;T001;2023-11-09;2699.41;22.82;1.18;2023;25.8
P001_0314;T001;2023-11-10;1697.04;21.96;2.04;2023;23.33
P001_0315;T001;2023-11-11;1841.03;22.01;1.99;2023;25.67
P001_0316;T001;2023-11-12;3096.16;22.02;1.98;2023;28.77
P001_0317;T001;2023-11-13;598.93;20.0;4.0;2023;24.87
P001_0318;T001;2023-11-14;9414.25;22.48;1.52;2023;22.31
P001_0319;T001;2023-11-15;455.04;22.56;1.44;2023;25.32
P001_0320;T001;2023-11-16;264.45;20.49;3.51;2023;26.28
P001_0321;T001;2023-11-17;5079.5;21.64;2.36;2023;22.63
P001_0322;T001;2023-11-18;3096.35;22.54;1.46;2023;28.05
P001_0323;T001;2023-11-19;3323.96;21.87;2.13;2023;24.71
P001_0324;T001;2023-11-20;2627.29;22.9;1.1;2023;25.49
P001_0325;T001;2023-11-21;1410.66;21.82;2.18;2023;25.22
P001_0326;T001;2023-11-22;359.58;22.3;1.7;2023;22.33
P001_0327;T001;2023-11-23;1705.58;22.53;1.47;2023;24.72
P001_0328;T001;2023-11-24;532.11;22.87;1.13;2023;25.36
P001_0329;T001;2023-11-25;3640.79;22.63;1.37;2023;24.38
P001_0330;T001;2023-11-26;1050.85;20.8;3.2;2023;24.88
P001_0331;T001;2023-11-27;354.25;21.48;2.52;2023;22.4
P001_0332;T001;2023-11-28;791.96;22.7;1.3;2023;26.84
P001_0333;T001;2023-11-29;1822.66;21.84;2.16;2023;22.52
P001_0334;T001;2023-11-30;480.91;20.56;3.44;2023;25.94
P001_0335;T001;2023-12-01;297.93;23.03;0.97;2023;29.01
P001_0336;T001;2023-12-02;1596.41;22.74;1.26;2023;24.46
P001_0337;T001;2023-12-03;1451.3;21.83;2.17;2023;30.48
P001_0338;T001;2023-12-04;400.33;21.7;2.3;2023;28.57
P001_0339;T001;2023-12-05;532.24;22.64;1.36;2023;27.14
P001_0340;T001;2023-12-06;1347.87;22.24;1.76;2023;29.76
P001_0341;T001;2023-12-07;38.64;18.76;5.24;2023;32.03
P001_0342;T001;2023-12-08;48.71;22.21;1.79;2023;26.29
P001_0343;T001;2023-12-09;238.47;20.42;3.58;2023;34.82
P001_0344;T001;2023-12-10;642.37;21.91;2.09;2023;31.74
P001_0345;T001;2023-12-11;1410.19;21.72;2.28;2023;25.44
P001_0346;T001;2023-12-12;4132.19;22.69;1.31;2023;28.81
P001_0347;T001;2023-12-13;2098.72;21.31;2.69;2023;28.65
P001_0348;T001;2023-12-14;668.43;22.5;1.5;2023;28.6
P001_0349;T001;2023-12-15;834.42;22.48;1.52;2023;26.28
P001_0350;T001;2023-12-16;108.16;21.13;2.87;2023;28.5
P001_0351;T001;2023-12-17;840.37;21.91;2.09;2023;25.72
P001_0352;T001;2023-12-18;474.65;21.85;2.15;2023;31.93
P001_0353;T001;2023-12-19;1281.47;20.45;3.55;2023;27.95
P001_0354;T001;2023-12-20;155.79;22.43;1.57;2023;29.59
P001_0355;T001;2023-12-21;1419.13;21.59;2.41;2023;28.65
P001_0356;T001;2023-12-22;4144.57;22.7;1.3;2023;22.9
P001_0357;T001;2023-12-23;680.65;22.36;1.64;2023;30.85
P001_0358;T001;2023-12-24;1337.85;21.06;2.94;2023;26.4
P001_0359;T001;2023-12-25;1870.58;23.0;1.0;2023;27.04
P001_0360;T001;2023-12-26;357.34;20.92;3.08;2023;28.12
P001_0361;T001;2023-12-27;848.49;17.88;6.12;2023;31.93
P001_0362;T001;2023-12-28;691.73;21.94;2.06;2023;29.3
P001_0363;T001;2023-12-29;791.26;21.1;2.9;2023;25.5
P001_0364;T001;2023-12-30;182.03;22.38;1.62;2023;30.02
P001_0365;T001;2023-12-31;764.06;22.19;1.81;2023;30.14
P001_0366;T001;2024-01-01;1679.86;22.27;1.73;2024;28.57
P001_0367;T001;2024-01-02;4576.74;21.37;2.63;2024;26.92
P001_0368;T001;2024-01-03;2650.98;20.95;3.05;2024;28.9
P001_0369;T001;2024-01-04;7303.5;22.58;1.42;2024;26.05
P001_0370;T001;2024-01-05;217.95;21.65;2.35;2024;27.89
P001_0371;T001;2024-01-06;2529.93;22.29;1.71;2024;30.06
P001_0372;T001;2024-01-07;984.78;20.5;3.5;2024;28.67
P001_0373;T001;2024-01-08;7563.36;22.22;1.78;2024;27.14
P001_0374;T001;2024-01-09;212.54;20.47;3.53;2024;29.53
P001_0375;T001;2024-01-10;182.52;22.41;1.59;2024;31.32
P001_0376;T001;2024-01-11;302.85;20.55;3.45;2024;31.47
P001_0377;T001;2024-01-12;0.12;22.97;1.03;2024;33.54
P001_0378;T001;2024-01-13;370.09;19.86;4.14;2024;31.04
P001_0379;T001;2024-01-14;227.8;22.6;1.4;2024;29.45
P001_0380;T001;2024-01-15;1186.55;20.5;3.5;2024;26.3
P001_0381;T001;2024-01-16;1386.46;22.52;1.48;2024;29.25
P001_0382;T001;2024-01-17;7166.74;22.79;1.21;2024;26.86
P001_0383;T001;2024-01-18;2650.24;21.53;2.47;2024;32.14
P001_0384;T001;2024-01-19;385.84;21.02;2.98;2024;30.2
P001_0385;T001;2024-01-20;202.69;22.57;1.43;2024;31.45
P001_0386;T001;2024-01-21;1506.31;21.11;2.89;2024;31.35
P001_0387;T001;2024-01-22;68.3;21.36;2.64;2024;26.3
P001_0388;T001;2024-01-23;6208.63;22.66;1.34;2024;31.17
